Date,PassengerCount
31/01/14,88228.368
28/02/14,85634.553
31/03/14,102720.892
30/04/14,119542.831
31/05/14,133140.779
30/06/14,145807.525
31/07/14,158121.654
31/08/14,164876.688
30/09/14,146688.096
31/10/14,133505.05
30/11/14,99530.634
31/12/14,98274.234
31/01/15,93326.251
28/02/15,90912.334
31/03/15,109289.486
30/04/15,124229.838
31/05/15,141702.036
30/06/15,151609.323
31/07/15,169653.254
31/08/15,174083.902
30/09/15,156043.521
31/10/15,142311.414
30/11/15,106396.102
31/12/15,103753.667
